"Start Time (GMT)","End Time (GMT)","Service","Value"
"152/00:00:00","152/00:27:06","KU AVAIL","true"
"152/00:00:00","152/00:27:06","S AVAIL","true"
"152/00:27:26","152/01:12:37","KU AVAIL","true"
"152/00:27:26","152/01:12:37","S AVAIL","true"
"152/01:12:57","152/01:37:39","KU AVAIL","true"
"152/01:12:57","152/01:37:39","S AVAIL","true"
"152/01:37:59","152/02:08:01","KU AVAIL","true"
"152/01:37:59","152/02:08:01","S AVAIL","true"
"152/02:08:21","152/02:22:50","KU AVAIL","true"
"152/02:08:21","152/02:15:05","S AVAIL","true"
"152/02:20:12","152/02:22:05","S AVAIL","true"
"152/02:42:40","152/03:11:56","S AVAIL","true"
"152/02:51:26","152/03:11:56","KU AVAIL","true"
"152/03:12:16","152/03:52:22","KU AVAIL","true"
"152/03:12:16","152/03:52:22","S AVAIL","true"
"152/03:52:42","152/03:57:40","S AVAIL","true"
"152/04:10:00","152/04:32:32","KU AVAIL","true"
"152/04:10:00","152/04:33:07","S AVAIL","true"
"152/04:33:27","152/04:59:36","KU AVAIL","true"
"152/04:33:27","152/04:59:36","S AVAIL","true"
"152/04:59:56","152/05:31:11","KU AVAIL","true"
"152/04:59:56","152/05:31:11","S AVAIL","true"
"152/05:31:31","152/05:36:39","KU AVAIL","true"
"152/05:31:31","152/05:36:39","S AVAIL","true"
"152/05:40:00","152/06:00:00","KU AVAIL","true"
"152/05:40:00","152/06:00:00","S AVAIL","true"
"152/06:00:00","152/06:14:40","KU AVAIL","true"
"152/06:00:00","152/06:14:40","S AVAIL","true"
"152/06:15:00","152/06:41:17","KU AVAIL","true"
"152/06:15:00","152/06:41:17","S AVAIL","true"
"152/06:41:37","152/07:10:17","KU AVAIL","true"
"152/06:41:37","152/07:10:17","S AVAIL","true"
"152/07:10:37","152/07:15:06","KU AVAIL","true"
"152/07:10:37","152/07:21:30","S AVAIL","true"
"152/07:23:45","152/07:25:34","S AVAIL","true"
"152/07:38:00","152/08:21:15","KU AVAIL","true"
"152/07:48:12","152/08:21:15","S AVAIL","true"
"152/08:21:35","152/08:51:50","KU AVAIL","true"
"152/08:21:35","152/08:51:50","S AVAIL","true"
"152/08:52:10","152/09:34:01","KU AVAIL","true"
"152/08:52:10","152/09:34:01","S AVAIL","true"
"152/09:34:21","152/10:05:03","KU AVAIL","true"
"152/09:34:21","152/10:05:03","S AVAIL","true"
"152/10:05:23","152/10:31:10","KU AVAIL","true"
"152/10:05:23","152/10:31:10","S AVAIL","true"
"152/10:31:30","152/10:35:31","KU AVAIL","true"
"152/10:31:30","152/10:35:31","S AVAIL","true"
"152/10:35:51","152/11:09:15","KU AVAIL","true"
"152/10:35:51","152/11:09:55","S AVAIL","true"
"152/11:10:15","152/11:33:07","KU AVAIL","true"
"152/11:10:15","152/11:33:07","S AVAIL","true"
"152/11:33:27","152/12:08:47","KU AVAIL","true"
"152/11:33:27","152/12:08:47","S AVAIL","true"
"152/12:09:07","152/12:44:46","S AVAIL","true"
"152/12:09:11","152/12:44:05","KU AVAIL","true"
"152/12:45:06","152/13:07:48","S AVAIL","true"
